id	chrom	len	cumul
scaff_group_001	WSYH01001066.1	142838	9325288
scaff_group_001	WSYH01001067.1	142778	9468066
scaff_group_001	WSYH01001068.1	142762	9610828
scaff_group_001	WSYH01001069.1	142702	9753530
scaff_group_001	WSYH01001070.1	142699	9896229
scaff_group_001	WSYH01001071.1	142688	10038917
scaff_group_001	WSYH01000127.1	318419	10357336
scaff_group_001	WSYH01001072.1	142663	10499999
scaff_group_001	WSYH01001073.1	142619	10642618
scaff_group_001	WSYH01001074.1	142611	10785229
scaff_group_001	WSYH01001075.1	142513	10927742
scaff_group_001	WSYH01001076.1	142452	11070194
scaff_group_001	WSYH01001077.1	142314	11212508
scaff_group_001	WSYH01001078.1	142234	11354742
scaff_group_001	WSYH01001079.1	142196	11496938
scaff_group_001	WSYH01001080.1	142188	11639126
scaff_group_001	WSYH01001081.1	142148	11781274
scaff_group_001	WSYH01000128.1	317993	12099267
scaff_group_001	WSYH01001082.1	142137	12241404
scaff_group_001	WSYH01001083.1	142089	12383493
scaff_group_001	WSYH01001084.1	142043	12525536
scaff_group_001	WSYH01001085.1	142001	12667537
scaff_group_001	WSYH01001086.1	141942	12809479
scaff_group_001	WSYH01001087.1	141913	12951392
scaff_group_001	WSYH01001088.1	141881	13093273
scaff_group_001	WSYH01001089.1	141739	13235012
scaff_group_001	WSYH01001090.1	141696	13376708
scaff_group_001	WSYH01001091.1	141692	13518400
scaff_group_001	WSYH01000129.1	315895	13834295
scaff_group_001	WSYH01001092.1	141681	13975976
scaff_group_001	WSYH01001093.1	141573	14117549
scaff_group_001	WSYH01001094.1	141568	14259117
scaff_group_001	WSYH01001095.1	141553	14400670
scaff_group_001	WSYH01001096.1	141508	14542178
scaff_group_001	WSYH01001097.1	141506	14683684
scaff_group_001	WSYH01001098.1	141455	14825139
scaff_group_001	WSYH01001099.1	141441	14966580
scaff_group_001	WSYH01001100.1	141426	15108006
scaff_group_001	WSYH01001101.1	141393	15249399
scaff_group_001	WSYH01000130.1	315321	15564720
scaff_group_001	WSYH01001102.1	141340	15706060
scaff_group_001	WSYH01001103.1	141295	15847355
scaff_group_001	WSYH01001104.1	141263	15988618
scaff_group_001	WSYH01001105.1	141145	16129763
scaff_group_001	WSYH01001106.1	141120	16270883
scaff_group_001	WSYH01001107.1	141070	16411953
scaff_group_001	WSYH01001108.1	141025	16552978
scaff_group_001	WSYH01001109.1	140990	16693968
scaff_group_001	WSYH01001110.1	140962	16834930
scaff_group_001	WSYH01001111.1	140892	16975822
scaff_group_001	WSYH01000131.1	315122	17290944
scaff_group_001	WSYH01001112.1	140817	17431761
scaff_group_001	WSYH01001113.1	140807	17572568
scaff_group_001	WSYH01001114.1	140747	17713315
scaff_group_001	WSYH01001115.1	140715	17854030
scaff_group_001	WSYH01001116.1	140612	17994642
scaff_group_001	WSYH01001117.1	140414	18135056
scaff_group_001	WSYH01001118.1	140273	18275329
scaff_group_001	WSYH01001119.1	140187	18415516
scaff_group_001	WSYH01001120.1	140173	18555689
scaff_group_001	WSYH01001121.1	140172	18695861
scaff_group_001	WSYH01000033.1	427237	19123098
scaff_group_001	WSYH01000132.1	314801	19437899
scaff_group_001	WSYH01001122.1	140078	19577977
scaff_group_001	WSYH01001123.1	139877	19717854
scaff_group_001	WSYH01001124.1	139802	19857656
scaff_group_001	WSYH01001125.1	139758	19997414
scaff_group_001	WSYH01001126.1	139754	20137168
scaff_group_001	WSYH01001127.1	139752	20276920
scaff_group_001	WSYH01001128.1	139672	20416592
scaff_group_001	WSYH01001129.1	139614	20556206
scaff_group_001	WSYH01001130.1	139556	20695762
scaff_group_001	WSYH01001131.1	139544	20835306
scaff_group_001	WSYH01000133.1	314771	21150077
scaff_group_001	WSYH01001132.1	139460	21289537
scaff_group_001	WSYH01001133.1	139389	21428926
scaff_group_001	WSYH01001134.1	139255	21568181
scaff_group_001	WSYH01001135.1	139248	21707429
scaff_group_001	WSYH01001136.1	139069	21846498
scaff_group_001	WSYH01001137.1	138968	21985466
scaff_group_001	WSYH01001138.1	138894	22124360
scaff_group_001	WSYH01001139.1	138821	22263181
scaff_group_001	WSYH01001140.1	138746	22401927
scaff_group_001	WSYH01001141.1	138723	22540650
scaff_group_001	WSYH01000134.1	314491	22855141
scaff_group_001	WSYH01001142.1	138699	22993840
scaff_group_001	WSYH01001143.1	138550	23132390
scaff_group_001	WSYH01001144.1	138531	23270921
scaff_group_001	WSYH01001145.1	138461	23409382
scaff_group_001	WSYH01001146.1	138382	23547764
scaff_group_001	WSYH01001147.1	138338	23686102
scaff_group_001	WSYH01001148.1	138279	23824381
scaff_group_001	WSYH01001149.1	138269	23962650
scaff_group_001	WSYH01001150.1	138264	24100914
scaff_group_001	WSYH01001151.1	138243	24239157
scaff_group_001	WSYH01000135.1	313719	24552876
scaff_group_001	WSYH01001152.1	138237	24691113
scaff_group_001	WSYH01001153.1	138232	24829345
scaff_group_001	WSYH01001154.1	138216	24967561
scaff_group_001	WSYH01001155.1	138215	25105776
scaff_group_001	WSYH01001156.1	138040	25243816
scaff_group_001	WSYH01001157.1	138013	25381829
scaff_group_001	WSYH01001158.1	138000	25519829
scaff_group_001	WSYH01001159.1	137941	25657770
scaff_group_001	WSYH01001160.1	137797	25795567
scaff_group_001	WSYH01001161.1	137791	25933358
scaff_group_001	WSYH01000136.1	312915	26246273
scaff_group_001	WSYH01001162.1	137768	26384041
scaff_group_001	WSYH01001163.1	137734	26521775
scaff_group_001	WSYH01001164.1	137603	26659378
scaff_group_001	WSYH01001165.1	137585	26796963
scaff_group_001	WSYH01001166.1	137584	26934547
scaff_group_001	WSYH01001167.1	137513	27072060
scaff_group_001	WSYH01001168.1	137495	27209555
scaff_group_001	WSYH01001169.1	137408	27346963
scaff_group_001	WSYH01001170.1	137383	27484346
scaff_group_001	WSYH01001171.1	137370	27621716
scaff_group_001	WSYH01000137.1	312441	27934157
scaff_group_001	WSYH01001172.1	137321	28071478
scaff_group_001	WSYH01001173.1	137231	28208709
scaff_group_001	WSYH01001174.1	137230	28345939
scaff_group_001	WSYH01001175.1	137227	28483166
scaff_group_001	WSYH01001176.1	136944	28620110
scaff_group_001	WSYH01001177.1	136931	28757041
scaff_group_001	WSYH01001178.1	136839	28893880
scaff_group_001	WSYH01001179.1	136829	29030709
scaff_group_001	WSYH01001180.1	136820	29167529
scaff_group_001	WSYH01001181.1	136737	29304266
scaff_group_001	WSYH01000138.1	310512	29614778
scaff_group_001	WSYH01001182.1	136594	29751372
scaff_group_001	WSYH01001183.1	136499	29887871
scaff_group_001	WSYH01001184.1	136493	30024364
scaff_group_001	WSYH01001185.1	136487	30160851
scaff_group_001	WSYH01001186.1	136467	30297318
scaff_group_001	WSYH01001187.1	136410	30433728
scaff_group_001	WSYH01001188.1	136301	30570029
scaff_group_001	WSYH01001189.1	136181	30706210
scaff_group_001	WSYH01001190.1	135991	30842201
scaff_group_001	WSYH01001191.1	135946	30978147
scaff_group_001	WSYH01000139.1	310216	31288363
scaff_group_001	WSYH01001192.1	135802	31424165
scaff_group_001	WSYH01001193.1	135749	31559914
scaff_group_001	WSYH01001194.1	135728	31695642
scaff_group_001	WSYH01001195.1	135651	31831293
scaff_group_001	WSYH01001196.1	135431	31966724
scaff_group_001	WSYH01001197.1	135330	32102054
scaff_group_001	WSYH01001198.1	135301	32237355
scaff_group_001	WSYH01001199.1	135295	32372650
scaff_group_001	WSYH01001200.1	135290	32507940
scaff_group_001	WSYH01001201.1	135200	32643140
scaff_group_001	WSYH01000140.1	310190	32953330
scaff_group_001	WSYH01001202.1	135184	33088514
scaff_group_001	WSYH01001203.1	135044	33223558
scaff_group_001	WSYH01001204.1	135039	33358597
scaff_group_001	WSYH01001205.1	134867	33493464
scaff_group_001	WSYH01001206.1	134863	33628327
scaff_group_001	WSYH01001207.1	134862	33763189
scaff_group_001	WSYH01001208.1	134859	33898048
scaff_group_001	WSYH01001209.1	134837	34032885
scaff_group_001	WSYH01001210.1	134773	34167658
scaff_group_001	WSYH01001211.1	134766	34302424
scaff_group_001	WSYH01000141.1	309767	34612191
scaff_group_001	WSYH01001212.1	134754	34746945
scaff_group_001	WSYH01001213.1	134695	34881640
scaff_group_001	WSYH01001214.1	134678	35016318
scaff_group_001	WSYH01001215.1	134552	35150870
scaff_group_001	WSYH01001216.1	134537	35285407
scaff_group_001	WSYH01001217.1	134436	35419843
scaff_group_001	WSYH01001218.1	134425	35554268
scaff_group_001	WSYH01001219.1	134346	35688614
scaff_group_001	WSYH01001220.1	134133	35822747
scaff_group_001	WSYH01001221.1	134119	35956866
scaff_group_001	WSYH01000034.1	422715	36379581
scaff_group_001	WSYH01000142.1	308971	36688552
scaff_group_001	WSYH01001222.1	133962	36822514
scaff_group_001	WSYH01001223.1	133962	36956476
scaff_group_001	WSYH01001224.1	133952	37090428
scaff_group_001	WSYH01001225.1	133936	37224364
scaff_group_001	WSYH01001226.1	133828	37358192
scaff_group_001	WSYH01001227.1	133773	37491965
scaff_group_001	WSYH01001228.1	133742	37625707
scaff_group_001	WSYH01001229.1	133622	37759329
scaff_group_001	WSYH01001230.1	133581	37892910
scaff_group_001	WSYH01001231.1	133481	38026391
scaff_group_001	WSYH01000143.1	308460	38334851
scaff_group_001	WSYH01001232.1	133350	38468201
scaff_group_001	WSYH01001233.1	133212	38601413
scaff_group_001	WSYH01001234.1	133197	38734610
scaff_group_001	WSYH01001235.1	133071	38867681
scaff_group_001	WSYH01001236.1	133051	39000732
scaff_group_001	WSYH01001237.1	133051	39133783
scaff_group_001	WSYH01001238.1	132903	39266686
scaff_group_001	WSYH01001239.1	132864	39399550
scaff_group_001	WSYH01001240.1	132854	39532404
scaff_group_001	WSYH01001241.1	132842	39665246
scaff_group_001	WSYH01000144.1	308076	39973322
scaff_group_001	WSYH01001242.1	132807	40106129
scaff_group_001	WSYH01001243.1	132790	40238919
scaff_group_001	WSYH01001244.1	132769	40371688
scaff_group_001	WSYH01001245.1	132714	40504402
scaff_group_001	WSYH01001246.1	132702	40637104
scaff_group_001	WSYH01001247.1	132643	40769747
scaff_group_001	WSYH01001248.1	132575	40902322
scaff_group_001	WSYH01001249.1	132552	41034874
scaff_group_001	WSYH01001250.1	132505	41167379
scaff_group_001	WSYH01001251.1	132469	41299848
scaff_group_001	WSYH01000145.1	307996	41607844
scaff_group_001	WSYH01001252.1	132453	41740297
scaff_group_001	WSYH01001253.1	132424	41872721
scaff_group_001	WSYH01001254.1	132313	42005034
scaff_group_001	WSYH01001255.1	132297	42137331
scaff_group_001	WSYH01001256.1	132269	42269600
scaff_group_001	WSYH01001257.1	132178	42401778
scaff_group_001	WSYH01001258.1	132158	42533936
scaff_group_001	WSYH01001259.1	132067	42666003
scaff_group_001	WSYH01001260.1	132034	42798037
scaff_group_001	WSYH01001261.1	131811	42929848
scaff_group_001	WSYH01000146.1	307993	43237841
scaff_group_001	WSYH01001262.1	131809	43369650
scaff_group_001	WSYH01001263.1	131738	43501388
scaff_group_001	WSYH01001264.1	131711	43633099
scaff_group_001	WSYH01001265.1	131652	43764751
scaff_group_001	WSYH01001266.1	131582	43896333
scaff_group_001	WSYH01001267.1	131468	44027801
scaff_group_001	WSYH01001268.1	131412	44159213
scaff_group_001	WSYH01001269.1	131177	44290390
scaff_group_001	WSYH01001270.1	131070	44421460
scaff_group_001	WSYH01001271.1	131006	44552466
scaff_group_001	WSYH01000147.1	307367	44859833
scaff_group_001	WSYH01001272.1	130989	44990822
scaff_group_001	WSYH01001273.1	130975	45121797
scaff_group_001	WSYH01001274.1	130974	45252771
scaff_group_001	WSYH01001275.1	130923	45383694
scaff_group_001	WSYH01001276.1	130916	45514610
scaff_group_001	WSYH01001277.1	130730	45645340
scaff_group_001	WSYH01001278.1	130608	45775948
scaff_group_001	WSYH01001279.1	130450	45906398
scaff_group_001	WSYH01001280.1	130404	46036802
scaff_group_001	WSYH01001281.1	130285	46167087
scaff_group_001	WSYH01000148.1	307121	46474208
scaff_group_001	WSYH01001282.1	130242	46604450
scaff_group_001	WSYH01001283.1	130190	46734640
scaff_group_001	WSYH01001284.1	130176	46864816
scaff_group_001	WSYH01001285.1	130163	46994979
scaff_group_001	WSYH01001286.1	130147	47125126
scaff_group_001	WSYH01001287.1	130145	47255271
scaff_group_001	WSYH01001288.1	130111	47385382
scaff_group_001	WSYH01001289.1	129945	47515327
scaff_group_001	WSYH01001290.1	129890	47645217
scaff_group_001	WSYH01001291.1	129842	47775059
scaff_group_001	WSYH01000149.1	306752	48081811
scaff_group_001	WSYH01001292.1	129773	48211584
scaff_group_001	WSYH01001293.1	129736	48341320
scaff_group_001	WSYH01001294.1	129729	48471049
scaff_group_001	WSYH01001295.1	129729	48600778
scaff_group_001	WSYH01001296.1	129641	48730419
scaff_group_001	WSYH01001297.1	129562	48859981
scaff_group_001	WSYH01001298.1	129423	48989404
scaff_group_001	WSYH01001299.1	129415	49118819
scaff_group_001	WSYH01001300.1	129393	49248212
scaff_group_001	WSYH01001301.1	129388	49377600
scaff_group_001	WSYH01000150.1	306748	49684348
scaff_group_001	WSYH01001302.1	129362	49813710
scaff_group_001	WSYH01001303.1	129333	49943043
scaff_group_002	WSYH01001304.1	129325	50072368
scaff_group_002	WSYH01001305.1	129300	50201668
scaff_group_002	WSYH01001306.1	129258	50330926
scaff_group_002	WSYH01001307.1	129166	50460092
scaff_group_002	WSYH01001308.1	129147	50589239
scaff_group_002	WSYH01001309.1	129085	50718324
scaff_group_002	WSYH01001310.1	128988	50847312
scaff_group_002	WSYH01001311.1	128902	50976214
scaff_group_002	WSYH01000151.1	306367	51282581
scaff_group_002	WSYH01001312.1	128837	51411418
scaff_group_002	WSYH01001313.1	128549	51539967
scaff_group_002	WSYH01001314.1	128541	51668508
scaff_group_002	WSYH01001315.1	128488	51796996
scaff_group_002	WSYH01001316.1	128217	51925213
scaff_group_002	WSYH01001317.1	128207	52053420
scaff_group_002	WSYH01001318.1	128190	52181610
scaff_group_002	WSYH01001319.1	128181	52309791
scaff_group_002	WSYH01001320.1	128079	52437870
scaff_group_002	WSYH01001321.1	128058	52565928
scaff_group_002	WSYH01000035.1	422370	52988298
scaff_group_002	WSYH01000152.1	305847	53294145
scaff_group_002	WSYH01001322.1	127997	53422142
scaff_group_002	WSYH01001323.1	127927	53550069
scaff_group_002	WSYH01001324.1	127833	53677902
scaff_group_002	WSYH01001325.1	127807	53805709
scaff_group_002	WSYH01001326.1	127767	53933476
scaff_group_002	WSYH01001327.1	127746	54061222
scaff_group_002	WSYH01001328.1	127742	54188964
scaff_group_002	WSYH01001329.1	127712	54316676
scaff_group_002	WSYH01001330.1	127645	54444321
scaff_group_002	WSYH01001331.1	127498	54571819
scaff_group_002	WSYH01000153.1	305314	54877133
scaff_group_002	WSYH01001332.1	127376	55004509
scaff_group_002	WSYH01001333.1	127326	55131835
scaff_group_002	WSYH01001334.1	127198	55259033
scaff_group_002	WSYH01001335.1	127194	55386227
scaff_group_002	WSYH01001336.1	127128	55513355
scaff_group_002	WSYH01001337.1	127118	55640473
scaff_group_002	WSYH01001338.1	126949	55767422
scaff_group_002	WSYH01001339.1	126848	55894270
scaff_group_002	WSYH01001340.1	126839	56021109
scaff_group_002	WSYH01001341.1	126726	56147835
scaff_group_002	WSYH01000154.1	305135	56452970
scaff_group_002	WSYH01001342.1	126660	56579630
scaff_group_002	WSYH01001343.1	126611	56706241
scaff_group_002	WSYH01001344.1	126568	56832809
scaff_group_002	WSYH01001345.1	126564	56959373
scaff_group_002	WSYH01001346.1	126526	57085899
scaff_group_002	WSYH01001347.1	126514	57212413
scaff_group_002	WSYH01001348.1	126425	57338838
scaff_group_002	WSYH01001349.1	126422	57465260
scaff_group_002	WSYH01001350.1	126389	57591649
scaff_group_002	WSYH01001351.1	126366	57718015
scaff_group_002	WSYH01000155.1	303966	58021981
scaff_group_002	WSYH01001352.1	126362	58148343
scaff_group_002	WSYH01001353.1	126361	58274704
scaff_group_002	WSYH01001354.1	126321	58401025
scaff_group_002	WSYH01001355.1	126205	58527230
scaff_group_002	WSYH01001356.1	126113	58653343
scaff_group_002	WSYH01001357.1	125959	58779302
scaff_group_002	WSYH01001358.1	125910	58905212
scaff_group_002	WSYH01001359.1	125898	59031110
scaff_group_002	WSYH01001360.1	125892	59157002
scaff_group_002	WSYH01001361.1	125886	59282888
scaff_group_002	WSYH01000156.1	303469	59586357
scaff_group_002	WSYH01001362.1	125820	59712177
scaff_group_002	WSYH01001363.1	125782	59837959
scaff_group_002	WSYH01001364.1	125686	59963645
scaff_group_002	WSYH01001365.1	125582	60089227
scaff_group_002	WSYH01001366.1	125509	60214736
scaff_group_002	WSYH01001367.1	125506	60340242
scaff_group_002	WSYH01001368.1	125472	60465714
scaff_group_002	WSYH01001369.1	125437	60591151
scaff_group_002	WSYH01001370.1	125365	60716516
scaff_group_002	WSYH01001371.1	125304	60841820
scaff_group_002	WSYH01000157.1	303272	61145092
scaff_group_002	WSYH01001372.1	125241	61270333
scaff_group_002	WSYH01001373.1	125189	61395522
scaff_group_002	WSYH01001374.1	125089	61520611
scaff_group_002	WSYH01001375.1	125064	61645675
scaff_group_002	WSYH01001376.1	124911	61770586
scaff_group_002	WSYH01001377.1	124889	61895475
scaff_group_002	WSYH01001378.1	124861	62020336
scaff_group_002	WSYH01001379.1	124839	62145175
scaff_group_002	WSYH01001380.1	124799	62269974
scaff_group_002	WSYH01001381.1	124759	62394733
scaff_group_002	WSYH01000158.1	302165	62696898
scaff_group_002	WSYH01001382.1	124619	62821517
scaff_group_002	WSYH01001383.1	124604	62946121
scaff_group_002	WSYH01001384.1	124568	63070689
scaff_group_002	WSYH01001385.1	124543	63195232
scaff_group_002	WSYH01001386.1	124425	63319657
scaff_group_002	WSYH01001387.1	124424	63444081
scaff_group_002	WSYH01001388.1	124403	63568484
scaff_group_002	WSYH01001389.1	124380	63692864
scaff_group_002	WSYH01001390.1	124317	63817181
scaff_group_002	WSYH01001391.1	124150	63941331
scaff_group_002	WSYH01000159.1	300888	64242219
scaff_group_002	WSYH01001392.1	124130	64366349
scaff_group_002	WSYH01001393.1	124095	64490444
scaff_group_002	WSYH01001394.1	123905	64614349
scaff_group_002	WSYH01001395.1	123867	64738216
scaff_group_002	WSYH01001396.1	123858	64862074
scaff_group_002	WSYH01001397.1	123856	64985930
scaff_group_002	WSYH01001398.1	123848	65109778
scaff_group_002	WSYH01001399.1	123806	65233584
scaff_group_002	WSYH01001400.1	123785	65357369
scaff_group_002	WSYH01001401.1	123735	65481104
scaff_group_002	WSYH01000160.1	300779	65781883
scaff_group_002	WSYH01001402.1	123723	65905606
scaff_group_002	WSYH01001403.1	123674	66029280
scaff_group_002	WSYH01001404.1	123629	66152909
scaff_group_002	WSYH01001405.1	123615	66276524
scaff_group_002	WSYH01001406.1	123583	66400107
scaff_group_002	WSYH01001407.1	123497	66523604
scaff_group_002	WSYH01001408.1	123470	66647074
scaff_group_002	WSYH01001409.1	123469	66770543
scaff_group_002	WSYH01001410.1	123464	66894007
scaff_group_002	WSYH01001411.1	123444	67017451
scaff_group_002	WSYH01000161.1	300375	67317826
scaff_group_002	WSYH01001412.1	123423	67441249
scaff_group_002	WSYH01001413.1	123418	67564667
scaff_group_002	WSYH01001414.1	123379	67688046
scaff_group_002	WSYH01001415.1	123371	67811417
scaff_group_002	WSYH01001416.1	123353	67934770
scaff_group_002	WSYH01001417.1	123326	68058096
scaff_group_002	WSYH01001418.1	123277	68181373
scaff_group_002	WSYH01001419.1	123269	68304642
scaff_group_002	WSYH01001420.1	123263	68427905
scaff_group_002	WSYH01001421.1	123145	68551050
scaff_group_002	WSYH01000036.1	416988	68968038
scaff_group_002	WSYH01000162.1	299634	69267672
scaff_group_002	WSYH01001422.1	123114	69390786
scaff_group_002	WSYH01001423.1	123101	69513887
scaff_group_002	WSYH01001424.1	123032	69636919
scaff_group_002	WSYH01001425.1	122999	69759918
scaff_group_002	WSYH01001426.1	122923	69882841
scaff_group_002	WSYH01001427.1	122894	70005735
scaff_group_002	WSYH01001428.1	122891	70128626
scaff_group_002	WSYH01001429.1	122884	70251510
scaff_group_002	WSYH01001430.1	122868	70374378
scaff_group_002	WSYH01001431.1	122857	70497235
scaff_group_002	WSYH01000163.1	299493	70796728
scaff_group_002	WSYH01001432.1	122774	70919502
scaff_group_002	WSYH01001433.1	122748	71042250
scaff_group_002	WSYH01001434.1	122661	71164911
scaff_group_002	WSYH01001435.1	122608	71287519
scaff_group_002	WSYH01001436.1	122528	71410047
scaff_group_002	WSYH01001437.1	122527	71532574
scaff_group_002	WSYH01001438.1	122496	71655070
scaff_group_002	WSYH01001439.1	122491	71777561
scaff_group_002	WSYH01001440.1	122387	71899948
scaff_group_002	WSYH01001441.1	122379	72022327
scaff_group_002	WSYH01000164.1	299133	72321460
scaff_group_002	WSYH01001442.1	122298	72443758
scaff_group_002	WSYH01001443.1	122260	72566018
scaff_group_002	WSYH01001444.1	122260	72688278
scaff_group_002	WSYH01001445.1	122222	72810500
scaff_group_002	WSYH01001446.1	122151	72932651
scaff_group_002	WSYH01001447.1	122121	73054772
scaff_group_002	WSYH01001448.1	122082	73176854
scaff_group_002	WSYH01001449.1	122021	73298875
scaff_group_002	WSYH01001450.1	122010	73420885
scaff_group_002	WSYH01001451.1	122005	73542890
scaff_group_002	WSYH01000165.1	298995	73841885
scaff_group_002	WSYH01001452.1	121982	73963867
scaff_group_002	WSYH01001453.1	121945	74085812
scaff_group_002	WSYH01001454.1	121939	74207751
scaff_group_002	WSYH01001455.1	121938	74329689
scaff_group_002	WSYH01001456.1	121913	74451602
scaff_group_002	WSYH01001457.1	121893	74573495
scaff_group_002	WSYH01001458.1	121775	74695270
scaff_group_002	WSYH01001459.1	121582	74816852
scaff_group_002	WSYH01001460.1	121500	74938352
scaff_group_002	WSYH01001461.1	121490	75059842
scaff_group_002	WSYH01000166.1	298931	75358773
scaff_group_002	WSYH01001462.1	121406	75480179
scaff_group_002	WSYH01001463.1	121393	75601572
scaff_group_002	WSYH01001464.1	121363	75722935
scaff_group_002	WSYH01001465.1	121276	75844211
scaff_group_002	WSYH01001466.1	121267	75965478
scaff_group_002	WSYH01001467.1	121207	76086685
scaff_group_002	WSYH01001468.1	121110	76207795
scaff_group_002	WSYH01001469.1	120979	76328774
scaff_group_002	WSYH01001470.1	120900	76449674
scaff_group_002	WSYH01001471.1	120861	76570535
scaff_group_002	WSYH01000167.1	298876	76869411
scaff_group_002	WSYH01001472.1	120859	76990270
scaff_group_002	WSYH01001473.1	120857	77111127
scaff_group_002	WSYH01001474.1	120794	77231921
scaff_group_002	WSYH01001475.1	120751	77352672
scaff_group_002	WSYH01001476.1	120718	77473390
scaff_group_002	WSYH01001477.1	120600	77593990
scaff_group_002	WSYH01001478.1	120470	77714460
scaff_group_002	WSYH01001479.1	120435	77834895
scaff_group_002	WSYH01001480.1	120327	77955222
scaff_group_002	WSYH01001481.1	120204	78075426
scaff_group_002	WSYH01000168.1	298526	78373952
scaff_group_002	WSYH01001482.1	120019	78493971
scaff_group_002	WSYH01001483.1	120016	78613987
scaff_group_002	WSYH01001484.1	120013	78734000
scaff_group_002	WSYH01001485.1	119969	78853969
scaff_group_002	WSYH01001486.1	119961	78973930
scaff_group_002	WSYH01001487.1	119800	79093730
scaff_group_002	WSYH01001488.1	119637	79213367
scaff_group_002	WSYH01001489.1	119588	79332955
scaff_group_002	WSYH01001490.1	119469	79452424
scaff_group_002	WSYH01001491.1	119445	79571869
scaff_group_002	WSYH01000169.1	297894	79869763
scaff_group_002	WSYH01001492.1	119417	79989180
scaff_group_002	WSYH01001493.1	119415	80108595
scaff_group_002	WSYH01001494.1	119374	80227969
scaff_group_002	WSYH01001495.1	119339	80347308
scaff_group_002	WSYH01001496.1	119294	80466602
scaff_group_002	WSYH01001497.1	119268	80585870
scaff_group_002	WSYH01001498.1	119249	80705119
scaff_group_002	WSYH01001499.1	119215	80824334
scaff_group_002	WSYH01001500.1	119210	80943544
scaff_group_002	WSYH01001501.1	119141	81062685
scaff_group_002	WSYH01000170.1	296951	81359636
scaff_group_002	WSYH01001502.1	119026	81478662
scaff_group_002	WSYH01001503.1	118994	81597656
scaff_group_002	WSYH01001504.1	118986	81716642
scaff_group_002	WSYH01001505.1	118970	81835612
scaff_group_002	WSYH01001506.1	118910	81954522
scaff_group_002	WSYH01001507.1	118899	82073421
scaff_group_002	WSYH01001508.1	118804	82192225
scaff_group_002	WSYH01001509.1	118780	82311005
scaff_group_002	WSYH01001510.1	118680	82429685
scaff_group_002	WSYH01001511.1	118652	82548337
scaff_group_002	WSYH01000171.1	296186	82844523
scaff_group_002	WSYH01001512.1	118642	82963165
scaff_group_002	WSYH01001513.1	118627	83081792
scaff_group_002	WSYH01001514.1	118536	83200328
scaff_group_002	WSYH01001515.1	118532	83318860
scaff_group_002	WSYH01001516.1	118477	83437337
scaff_group_002	WSYH01001517.1	118445	83555782
scaff_group_002	WSYH01001518.1	118387	83674169
scaff_group_002	WSYH01001519.1	118266	83792435
scaff_group_002	WSYH01001520.1	118242	83910677
scaff_group_002	WSYH01001521.1	118155	84028832
scaff_group_002	WSYH01000037.1	409628	84438460
scaff_group_002	WSYH01000172.1	295286	84733746
scaff_group_002	WSYH01001522.1	118100	84851846
