id	scatter_idx	chrom	start	end	scatter_length
CM071567.1	scat_0036	CM071567.1	172687446	177621372	4933927
CM071567.1	scat_0037	CM071567.1	177621373	182555299	4933927
CM071567.1	scat_0038	CM071567.1	182555300	187489226	4933927
CM071567.1	scat_0039	CM071567.1	187489227	192423153	4933927
CM071567.1	scat_0040	CM071567.1	192423154	197357080	4933927
CM071567.1	scat_0041	CM071567.1	197357081	202291007	4933927
CM071567.1	scat_0042	CM071567.1	202291008	207224934	4933927
CM071567.1	scat_0043	CM071567.1	207224935	212158861	4933927
CM071567.1	scat_0044	CM071567.1	212158862	217092788	4933927
CM071567.1	scat_0045	CM071567.1	217092789	222026715	4933927
CM071567.1	scat_0046	CM071567.1	222026716	226960642	4933927
CM071567.1	scat_0047	CM071567.1	226960643	231894569	4933927
CM071567.1	scat_0048	CM071567.1	231894570	236828496	4933927
CM071567.1	scat_0049	CM071567.1	236828497	241762423	4933927
CM071567.1	scat_0050	CM071567.1	241762424	246696350	4933927
CM071567.1	scat_0051	CM071567.1	246696351	251630277	4933927
CM071567.1	scat_0052	CM071567.1	251630278	256564204	4933927
CM071567.1	scat_0053	CM071567.1	256564205	261498131	4933927
CM071567.1	scat_0054	CM071567.1	261498132	266432058	4933927
CM071567.1	scat_0055	CM071567.1	266432059	271365985	4933927
CM071567.1	scat_0056	CM071567.1	271365986	276299912	4933927
CM071567.1	scat_0057	CM071567.1	276299913	281233839	4933927
CM071567.1	scat_0058	CM071567.1	281233840	286167766	4933927
CM071567.1	scat_0059	CM071567.1	286167767	291101693	4933927
CM071567.1	scat_0060	CM071567.1	291101694	296035620	4933927
CM071567.1	scat_0061	CM071567.1	296035621	300969547	4933927
CM071567.1	scat_0062	CM071567.1	300969548	305903474	4933927
CM071567.1	scat_0063	CM071567.1	305903475	310837401	4933927
CM071567.1	scat_0064	CM071567.1	310837402	315771328	4933927
CM071567.1	scat_0065	CM071567.1	315771329	320705255	4933927
CM071567.1	scat_0066	CM071567.1	320705256	325639182	4933927
CM071567.1	scat_0067	CM071567.1	325639183	330573056	4933874
CM071568.1	scat_0001	CM071568.1	1	4939860	4939860
CM071568.1	scat_0002	CM071568.1	4939861	9879720	4939860
CM071568.1	scat_0003	CM071568.1	9879721	14819580	4939860
CM071568.1	scat_0004	CM071568.1	14819581	19759440	4939860
CM071568.1	scat_0005	CM071568.1	19759441	24699300	4939860
CM071568.1	scat_0006	CM071568.1	24699301	29639160	4939860
CM071568.1	scat_0007	CM071568.1	29639161	34579020	4939860
CM071568.1	scat_0008	CM071568.1	34579021	39518880	4939860
CM071568.1	scat_0009	CM071568.1	39518881	44458740	4939860
CM071568.1	scat_0010	CM071568.1	44458741	49398600	4939860
CM071568.1	scat_0011	CM071568.1	49398601	54338460	4939860
CM071568.1	scat_0012	CM071568.1	54338461	59278320	4939860
CM071568.1	scat_0013	CM071568.1	59278321	64218180	4939860
CM071568.1	scat_0014	CM071568.1	64218181	69158040	4939860
CM071568.1	scat_0015	CM071568.1	69158041	74097900	4939860
CM071568.1	scat_0016	CM071568.1	74097901	79037760	4939860
CM071568.1	scat_0017	CM071568.1	79037761	83977620	4939860
CM071568.1	scat_0018	CM071568.1	83977621	88917480	4939860
CM071568.1	scat_0019	CM071568.1	88917481	93857340	4939860
CM071568.1	scat_0020	CM071568.1	93857341	98797200	4939860
CM071568.1	scat_0021	CM071568.1	98797201	103737060	4939860
CM071568.1	scat_0022	CM071568.1	103737061	108676920	4939860
CM071568.1	scat_0023	CM071568.1	108676921	113616780	4939860
CM071568.1	scat_0024	CM071568.1	113616781	118556640	4939860
CM071568.1	scat_0025	CM071568.1	118556641	123496500	4939860
CM071568.1	scat_0026	CM071568.1	123496501	128436360	4939860
CM071568.1	scat_0027	CM071568.1	128436361	133376220	4939860
CM071568.1	scat_0028	CM071568.1	133376221	138316080	4939860
CM071568.1	scat_0029	CM071568.1	138316081	143255940	4939860
CM071568.1	scat_0030	CM071568.1	143255941	148195800	4939860
CM071568.1	scat_0031	CM071568.1	148195801	153135660	4939860
CM071568.1	scat_0032	CM071568.1	153135661	158075520	4939860
CM071568.1	scat_0033	CM071568.1	158075521	163015380	4939860
CM071568.1	scat_0034	CM071568.1	163015381	167955240	4939860
CM071568.1	scat_0035	CM071568.1	167955241	172895100	4939860
CM071568.1	scat_0036	CM071568.1	172895101	177834960	4939860
CM071568.1	scat_0037	CM071568.1	177834961	182774820	4939860
CM071568.1	scat_0038	CM071568.1	182774821	187714680	4939860
CM071568.1	scat_0039	CM071568.1	187714681	192654540	4939860
CM071568.1	scat_0040	CM071568.1	192654541	197594400	4939860
CM071568.1	scat_0041	CM071568.1	197594401	202534260	4939860
CM071568.1	scat_0042	CM071568.1	202534261	207474120	4939860
CM071568.1	scat_0043	CM071568.1	207474121	212413980	4939860
CM071568.1	scat_0044	CM071568.1	212413981	217353840	4939860
CM071568.1	scat_0045	CM071568.1	217353841	222293700	4939860
CM071568.1	scat_0046	CM071568.1	222293701	227233560	4939860
CM071568.1	scat_0047	CM071568.1	227233561	232173420	4939860
CM071568.1	scat_0048	CM071568.1	232173421	237113280	4939860
CM071568.1	scat_0049	CM071568.1	237113281	242053140	4939860
CM071568.1	scat_0050	CM071568.1	242053141	246993000	4939860
CM071568.1	scat_0051	CM071568.1	246993001	251932860	4939860
CM071568.1	scat_0052	CM071568.1	251932861	256872720	4939860
CM071568.1	scat_0053	CM071568.1	256872721	261812580	4939860
CM071568.1	scat_0054	CM071568.1	261812581	266752440	4939860
CM071568.1	scat_0055	CM071568.1	266752441	271692300	4939860
CM071568.1	scat_0056	CM071568.1	271692301	276632160	4939860
CM071568.1	scat_0057	CM071568.1	276632161	281572020	4939860
CM071568.1	scat_0058	CM071568.1	281572021	286511880	4939860
CM071568.1	scat_0059	CM071568.1	286511881	291451740	4939860
CM071568.1	scat_0060	CM071568.1	291451741	296391600	4939860
CM071568.1	scat_0061	CM071568.1	296391601	301331460	4939860
CM071568.1	scat_0062	CM071568.1	301331461	306271277	4939817
CM071569.1	scat_0001	CM071569.1	1	4931937	4931937
CM071569.1	scat_0002	CM071569.1	4931938	9863874	4931937
CM071569.1	scat_0003	CM071569.1	9863875	14795811	4931937
CM071569.1	scat_0004	CM071569.1	14795812	19727748	4931937
CM071569.1	scat_0005	CM071569.1	19727749	24659685	4931937
CM071569.1	scat_0006	CM071569.1	24659686	29591622	4931937
CM071569.1	scat_0007	CM071569.1	29591623	34523559	4931937
CM071569.1	scat_0008	CM071569.1	34523560	39455496	4931937
CM071569.1	scat_0009	CM071569.1	39455497	44387433	4931937
CM071569.1	scat_0010	CM071569.1	44387434	49319370	4931937
CM071569.1	scat_0011	CM071569.1	49319371	54251307	4931937
CM071569.1	scat_0012	CM071569.1	54251308	59183244	4931937
CM071569.1	scat_0013	CM071569.1	59183245	64115181	4931937
CM071569.1	scat_0014	CM071569.1	64115182	69047118	4931937
CM071569.1	scat_0015	CM071569.1	69047119	73979055	4931937
CM071569.1	scat_0016	CM071569.1	73979056	78910992	4931937
CM071569.1	scat_0017	CM071569.1	78910993	83842929	4931937
CM071569.1	scat_0018	CM071569.1	83842930	88774866	4931937
CM071569.1	scat_0019	CM071569.1	88774867	93706803	4931937
CM071569.1	scat_0020	CM071569.1	93706804	98638740	4931937
CM071569.1	scat_0021	CM071569.1	98638741	103570677	4931937
CM071569.1	scat_0022	CM071569.1	103570678	108502614	4931937
CM071569.1	scat_0023	CM071569.1	108502615	113434551	4931937
CM071569.1	scat_0024	CM071569.1	113434552	118366488	4931937
CM071569.1	scat_0025	CM071569.1	118366489	123298425	4931937
CM071569.1	scat_0026	CM071569.1	123298426	128230362	4931937
CM071569.1	scat_0027	CM071569.1	128230363	133162299	4931937
CM071569.1	scat_0028	CM071569.1	133162300	138094236	4931937
CM071569.1	scat_0029	CM071569.1	138094237	143026173	4931937
CM071569.1	scat_0030	CM071569.1	143026174	147958110	4931937
CM071569.1	scat_0031	CM071569.1	147958111	152890047	4931937
CM071569.1	scat_0032	CM071569.1	152890048	157821984	4931937
CM071569.1	scat_0033	CM071569.1	157821985	162753921	4931937
CM071569.1	scat_0034	CM071569.1	162753922	167685858	4931937
CM071569.1	scat_0035	CM071569.1	167685859	172617795	4931937
CM071569.1	scat_0036	CM071569.1	172617796	177549732	4931937
CM071569.1	scat_0037	CM071569.1	177549733	182481669	4931937
CM071569.1	scat_0038	CM071569.1	182481670	187413606	4931937
CM071569.1	scat_0039	CM071569.1	187413607	192345543	4931937
CM071569.1	scat_0040	CM071569.1	192345544	197277480	4931937
CM071569.1	scat_0041	CM071569.1	197277481	202209417	4931937
CM071569.1	scat_0042	CM071569.1	202209418	207141354	4931937
CM071569.1	scat_0043	CM071569.1	207141355	212073291	4931937
CM071569.1	scat_0044	CM071569.1	212073292	217005228	4931937
CM071569.1	scat_0045	CM071569.1	217005229	221937165	4931937
CM071569.1	scat_0046	CM071569.1	221937166	226869102	4931937
CM071569.1	scat_0047	CM071569.1	226869103	231801039	4931937
CM071569.1	scat_0048	CM071569.1	231801040	236732976	4931937
CM071569.1	scat_0049	CM071569.1	236732977	241664913	4931937
CM071569.1	scat_0050	CM071569.1	241664914	246596850	4931937
CM071569.1	scat_0051	CM071569.1	246596851	251528787	4931937
CM071569.1	scat_0052	CM071569.1	251528788	256460724	4931937
CM071569.1	scat_0053	CM071569.1	256460725	261392661	4931937
CM071569.1	scat_0054	CM071569.1	261392662	266324598	4931937
CM071569.1	scat_0055	CM071569.1	266324599	271256535	4931937
CM071569.1	scat_0056	CM071569.1	271256536	276188472	4931937
CM071569.1	scat_0057	CM071569.1	276188473	281120409	4931937
CM071569.1	scat_0058	CM071569.1	281120410	286052345	4931936
CM071570.1	scat_0001	CM071570.1	1	4964970	4964970
CM071570.1	scat_0002	CM071570.1	4964971	9929940	4964970
CM071570.1	scat_0003	CM071570.1	9929941	14894910	4964970
CM071570.1	scat_0004	CM071570.1	14894911	19859880	4964970
CM071570.1	scat_0005	CM071570.1	19859881	24824850	4964970
CM071570.1	scat_0006	CM071570.1	24824851	29789820	4964970
CM071570.1	scat_0007	CM071570.1	29789821	34754790	4964970
CM071570.1	scat_0008	CM071570.1	34754791	39719760	4964970
CM071570.1	scat_0009	CM071570.1	39719761	44684730	4964970
CM071570.1	scat_0010	CM071570.1	44684731	49649700	4964970
CM071570.1	scat_0011	CM071570.1	49649701	54614670	4964970
CM071570.1	scat_0012	CM071570.1	54614671	59579640	4964970
CM071570.1	scat_0013	CM071570.1	59579641	64544610	4964970
CM071570.1	scat_0014	CM071570.1	64544611	69509580	4964970
CM071570.1	scat_0015	CM071570.1	69509581	74474550	4964970
CM071570.1	scat_0016	CM071570.1	74474551	79439520	4964970
CM071570.1	scat_0017	CM071570.1	79439521	84404490	4964970
CM071570.1	scat_0018	CM071570.1	84404491	89369460	4964970
CM071570.1	scat_0019	CM071570.1	89369461	94334430	4964970
CM071570.1	scat_0020	CM071570.1	94334431	99299400	4964970
CM071570.1	scat_0021	CM071570.1	99299401	104264370	4964970
CM071570.1	scat_0022	CM071570.1	104264371	109229340	4964970
CM071570.1	scat_0023	CM071570.1	109229341	114194310	4964970
CM071570.1	scat_0024	CM071570.1	114194311	119159280	4964970
CM071570.1	scat_0025	CM071570.1	119159281	124124250	4964970
CM071570.1	scat_0026	CM071570.1	124124251	129089220	4964970
CM071570.1	scat_0027	CM071570.1	129089221	134054190	4964970
CM071570.1	scat_0028	CM071570.1	134054191	139019160	4964970
CM071570.1	scat_0029	CM071570.1	139019161	143984130	4964970
CM071570.1	scat_0030	CM071570.1	143984131	148949100	4964970
CM071570.1	scat_0031	CM071570.1	148949101	153914070	4964970
CM071570.1	scat_0032	CM071570.1	153914071	158879040	4964970
CM071570.1	scat_0033	CM071570.1	158879041	163844010	4964970
CM071570.1	scat_0034	CM071570.1	163844011	168808980	4964970
CM071570.1	scat_0035	CM071570.1	168808981	173773950	4964970
CM071570.1	scat_0036	CM071570.1	173773951	178738920	4964970
CM071570.1	scat_0037	CM071570.1	178738921	183703890	4964970
CM071570.1	scat_0038	CM071570.1	183703891	188668860	4964970
CM071570.1	scat_0039	CM071570.1	188668861	193633830	4964970
CM071570.1	scat_0040	CM071570.1	193633831	198598800	4964970
CM071570.1	scat_0041	CM071570.1	198598801	203563770	4964970
CM071570.1	scat_0042	CM071570.1	203563771	208528740	4964970
CM071570.1	scat_0043	CM071570.1	208528741	213493710	4964970
CM071570.1	scat_0044	CM071570.1	213493711	218458680	4964970
CM071570.1	scat_0045	CM071570.1	218458681	223423650	4964970
CM071570.1	scat_0046	CM071570.1	223423651	228388620	4964970
CM071570.1	scat_0047	CM071570.1	228388621	233353590	4964970
CM071570.1	scat_0048	CM071570.1	233353591	238318560	4964970
CM071570.1	scat_0049	CM071570.1	238318561	243283530	4964970
CM071570.1	scat_0050	CM071570.1	243283531	248248485	4964955
CM071571.1	scat_0001	CM071571.1	1	4921240	4921240
CM071571.1	scat_0002	CM071571.1	4921241	9842480	4921240
CM071571.1	scat_0003	CM071571.1	9842481	14763720	4921240
CM071571.1	scat_0004	CM071571.1	14763721	19684960	4921240
CM071571.1	scat_0005	CM071571.1	19684961	24606200	4921240
CM071571.1	scat_0006	CM071571.1	24606201	29527440	4921240
CM071571.1	scat_0007	CM071571.1	29527441	34448680	4921240
CM071571.1	scat_0008	CM071571.1	34448681	39369920	4921240
CM071571.1	scat_0009	CM071571.1	39369921	44291160	4921240
CM071571.1	scat_0010	CM071571.1	44291161	49212400	4921240
CM071571.1	scat_0011	CM071571.1	49212401	54133640	4921240
CM071571.1	scat_0012	CM071571.1	54133641	59054880	4921240
CM071571.1	scat_0013	CM071571.1	59054881	63976120	4921240
CM071571.1	scat_0014	CM071571.1	63976121	68897360	4921240
CM071571.1	scat_0015	CM071571.1	68897361	73818600	4921240
CM071571.1	scat_0016	CM071571.1	73818601	78739840	4921240
CM071571.1	scat_0017	CM071571.1	78739841	83661080	4921240
CM071571.1	scat_0018	CM071571.1	83661081	88582320	4921240
CM071571.1	scat_0019	CM071571.1	88582321	93503560	4921240
CM071571.1	scat_0020	CM071571.1	93503561	98424800	4921240
CM071571.1	scat_0021	CM071571.1	98424801	103346040	4921240
CM071571.1	scat_0022	CM071571.1	103346041	108267280	4921240
CM071571.1	scat_0023	CM071571.1	108267281	113188520	4921240
CM071571.1	scat_0024	CM071571.1	113188521	118109760	4921240
CM071571.1	scat_0025	CM071571.1	118109761	123031000	4921240
CM071571.1	scat_0026	CM071571.1	123031001	127952240	4921240
CM071571.1	scat_0027	CM071571.1	127952241	132873480	4921240
CM071571.1	scat_0028	CM071571.1	132873481	137794720	4921240
CM071571.1	scat_0029	CM071571.1	137794721	142715960	4921240
CM071571.1	scat_0030	CM071571.1	142715961	147637200	4921240
CM071571.1	scat_0031	CM071571.1	147637201	152558440	4921240
CM071571.1	scat_0032	CM071571.1	152558441	157479680	4921240
CM071571.1	scat_0033	CM071571.1	157479681	162400920	4921240
CM071571.1	scat_0034	CM071571.1	162400921	167322160	4921240
CM071571.1	scat_0035	CM071571.1	167322161	172243400	4921240
CM071571.1	scat_0036	CM071571.1	172243401	177164640	4921240
CM071571.1	scat_0037	CM071571.1	177164641	182085880	4921240
CM071571.1	scat_0038	CM071571.1	182085881	187007120	4921240
CM071571.1	scat_0039	CM071571.1	187007121	191928360	4921240
CM071571.1	scat_0040	CM071571.1	191928361	196849571	4921211
CM071572.1	scat_0001	CM071572.1	1	4854026	4854026
CM071572.1	scat_0002	CM071572.1	4854027	9708052	4854026
CM071572.1	scat_0003	CM071572.1	9708053	14562078	4854026
CM071572.1	scat_0004	CM071572.1	14562079	19416104	4854026
CM071572.1	scat_0005	CM071572.1	19416105	24270130	4854026
CM071572.1	scat_0006	CM071572.1	24270131	29124156	4854026
CM071572.1	scat_0007	CM071572.1	29124157	33978182	4854026
CM071572.1	scat_0008	CM071572.1	33978183	38832208	4854026
CM071572.1	scat_0009	CM071572.1	38832209	43686234	4854026
CM071572.1	scat_0010	CM071572.1	43686235	48540260	4854026
CM071572.1	scat_0011	CM071572.1	48540261	53394286	4854026
CM071572.1	scat_0012	CM071572.1	53394287	58248312	4854026
CM071572.1	scat_0013	CM071572.1	58248313	63102338	4854026
CM071572.1	scat_0014	CM071572.1	63102339	67956364	4854026
CM071572.1	scat_0015	CM071572.1	67956365	72810390	4854026
CM071572.1	scat_0016	CM071572.1	72810391	77664416	4854026
CM071572.1	scat_0017	CM071572.1	77664417	82518442	4854026
CM071572.1	scat_0018	CM071572.1	82518443	87372468	4854026
CM071572.1	scat_0019	CM071572.1	87372469	92226477	4854009
CM071573.1	scat_0001	CM071573.1	1	4730131	4730131
CM071573.1	scat_0002	CM071573.1	4730132	9460262	4730131
CM071573.1	scat_0003	CM071573.1	9460263	14190393	4730131
CM071573.1	scat_0004	CM071573.1	14190394	18920524	4730131
CM071573.1	scat_0005	CM071573.1	18920525	23650655	4730131
CM071573.1	scat_0006	CM071573.1	23650656	28380786	4730131
CM071573.1	scat_0007	CM071573.1	28380787	33110917	4730131
CM071573.1	scat_0008	CM071573.1	33110918	37841048	4730131
CM071573.1	scat_0009	CM071573.1	37841049	42571179	4730131
CM071573.1	scat_0010	CM071573.1	42571180	47301310	4730131
CM071573.1	scat_0011	CM071573.1	47301311	52031441	4730131
CM071573.1	scat_0012	CM071573.1	52031442	56761572	4730131
CM071573.1	scat_0013	CM071573.1	56761573	61491703	4730131
CM071573.1	scat_0014	CM071573.1	61491704	66221834	4730131
CM071573.1	scat_0015	CM071573.1	66221835	70951965	4730131
CM071573.1	scat_0016	CM071573.1	70951966	75682096	4730131
CM071573.1	scat_0017	CM071573.1	75682097	80412226	4730130
CM071574.1	scat_0001	CM071574.1	1	4793478	4793478
CM071574.1	scat_0002	CM071574.1	4793479	9586956	4793478
CM071574.1	scat_0003	CM071574.1	9586957	14380434	4793478
CM071574.1	scat_0004	CM071574.1	14380435	19173912	4793478
CM071574.1	scat_0005	CM071574.1	19173913	23967390	4793478
CM071574.1	scat_0006	CM071574.1	23967391	28760868	4793478
CM071574.1	scat_0007	CM071574.1	28760869	33554346	4793478
CM071574.1	scat_0008	CM071574.1	33554347	38347824	4793478
CM071574.1	scat_0009	CM071574.1	38347825	43141302	4793478
CM071574.1	scat_0010	CM071574.1	43141303	47934780	4793478
CM071574.1	scat_0011	CM071574.1	47934781	52728258	4793478
CM071574.1	scat_0012	CM071574.1	52728259	57521736	4793478
CM071574.1	scat_0013	CM071574.1	57521737	62315214	4793478
CM071574.1	scat_0014	CM071574.1	62315215	67108692	4793478
CM071574.1	scat_0015	CM071574.1	67108693	71902170	4793478
CM071574.1	scat_0016	CM071574.1	71902171	76695647	4793477
CM071575.1	scat_0001	CM071575.1	1	4986468	4986468
CM071575.1	scat_0002	CM071575.1	4986469	9972936	4986468
CM071575.1	scat_0003	CM071575.1	9972937	14959404	4986468
CM071575.1	scat_0004	CM071575.1	14959405	19945872	4986468
CM071575.1	scat_0005	CM071575.1	19945873	24932340	4986468
CM071575.1	scat_0006	CM071575.1	24932341	29918808	4986468
CM071575.1	scat_0007	CM071575.1	29918809	34905276	4986468
CM071575.1	scat_0008	CM071575.1	34905277	39891744	4986468
CM071575.1	scat_0009	CM071575.1	39891745	44878212	4986468
CM071575.1	scat_0010	CM071575.1	44878213	49864676	4986464
CM071576.1	scat_0001	CM071576.1	1	4558775	4558775
CM071576.1	scat_0002	CM071576.1	4558776	9117550	4558775
CM071576.1	scat_0003	CM071576.1	9117551	13676325	4558775
CM071576.1	scat_0004	CM071576.1	13676326	18235100	4558775
CM071576.1	scat_0005	CM071576.1	18235101	22793875	4558775
CM071576.1	scat_0006	CM071576.1	22793876	27352650	4558775
CM071576.1	scat_0007	CM071576.1	27352651	31911425	4558775
CM071576.1	scat_0008	CM071576.1	31911426	36470200	4558775
CM071576.1	scat_0009	CM071576.1	36470201	41028975	4558775
CM071576.1	scat_0010	CM071576.1	41028976	45587745	4558770
CM071577.1	scat_0001	CM071577.1	1	4405248	4405248
CM071577.1	scat_0002	CM071577.1	4405249	8810496	4405248
CM071577.1	scat_0003	CM071577.1	8810497	13215744	4405248
CM071577.1	scat_0004	CM071577.1	13215745	17620992	4405248
CM071577.1	scat_0005	CM071577.1	17620993	22026240	4405248
CM071577.1	scat_0006	CM071577.1	22026241	26431488	4405248
CM071577.1	scat_0007	CM071577.1	26431489	30836736	4405248
CM071578.1	scat_0001	CM071578.1	1	4398964	4398964
CM071578.1	scat_0002	CM071578.1	4398965	8797928	4398964
CM071578.1	scat_0003	CM071578.1	8797929	13196892	4398964
CM071578.1	scat_0004	CM071578.1	13196893	17595856	4398964
CM071578.1	scat_0005	CM071578.1	17595857	21994820	4398964
CM071578.1	scat_0006	CM071578.1	21994821	26393784	4398964
CM071578.1	scat_0007	CM071578.1	26393785	30792743	4398959
CM071579.1	scat_0001	CM071579.1	1	4337253	4337253
CM071579.1	scat_0002	CM071579.1	4337254	8674506	4337253
CM071579.1	scat_0003	CM071579.1	8674507	13011759	4337253
CM071579.1	scat_0004	CM071579.1	13011760	17349012	4337253
CM071579.1	scat_0005	CM071579.1	17349013	21686265	4337253
CM071579.1	scat_0006	CM071579.1	21686266	26023518	4337253
CM071579.1	scat_0007	CM071579.1	26023519	30360766	4337248
CM071580.1	scat_0001	CM071580.1	1	4647209	4647209
CM071580.1	scat_0002	CM071580.1	4647210	9294418	4647209
CM071580.1	scat_0003	CM071580.1	9294419	13941627	4647209
CM071580.1	scat_0004	CM071580.1	13941628	18588836	4647209
CM071580.1	scat_0005	CM071580.1	18588837	23236045	4647209
CM071580.1	scat_0006	CM071580.1	23236046	27883249	4647204
CM071581.1	scat_0001	CM071581.1	1	4511109	4511109
CM071581.1	scat_0002	CM071581.1	4511110	9022218	4511109
CM071581.1	scat_0003	CM071581.1	9022219	13533327	4511109
CM071581.1	scat_0004	CM071581.1	13533328	18044436	4511109
CM071581.1	scat_0005	CM071581.1	18044437	22555545	4511109
CM071581.1	scat_0006	CM071581.1	22555546	27066649	4511104
CM071582.1	scat_0001	CM071582.1	1	4260502	4260502
CM071582.1	scat_0002	CM071582.1	4260503	8521004	4260502
CM071582.1	scat_0003	CM071582.1	8521005	12781506	4260502
CM071582.1	scat_0004	CM071582.1	12781507	17042008	4260502
CM071582.1	scat_0005	CM071582.1	17042009	21302510	4260502
CM071582.1	scat_0006	CM071582.1	21302511	25563010	4260500
CM071583.1	scat_0001	CM071583.1	1	4978811	4978811
CM071583.1	scat_0002	CM071583.1	4978812	9957622	4978811
CM071583.1	scat_0003	CM071583.1	9957623	14936433	4978811
CM071583.1	scat_0004	CM071583.1	14936434	19915241	4978808
CM071584.1	scat_0001	CM071584.1	1	4686453	4686453
CM071584.1	scat_0002	CM071584.1	4686454	9372906	4686453
CM071584.1	scat_0003	CM071584.1	9372907	14059359	4686453
CM071584.1	scat_0004	CM071584.1	14059360	18745812	4686453
CM071585.1	scat_0001	CM071585.1	1	4228881	4228881
CM071585.1	scat_0002	CM071585.1	4228882	8457762	4228881
CM071585.1	scat_0003	CM071585.1	8457763	12686643	4228881
CM071585.1	scat_0004	CM071585.1	12686644	16915524	4228881
CM071586.1	scat_0001	CM071586.1	1	4419149	4419149
CM071586.1	scat_0002	CM071586.1	4419150	8838298	4419149
CM071586.1	scat_0003	CM071586.1	8838299	13257447	4419149
CM071587.1	scat_0001	CM071587.1	1	3846614	3846614
CM071587.1	scat_0002	CM071587.1	3846615	7693228	3846614
CM071587.1	scat_0003	CM071587.1	7693229	11539842	3846614
CM071588.1	scat_0001	CM071588.1	1	3740080	3740080
CM071588.1	scat_0002	CM071588.1	3740081	7480160	3740080
CM071588.1	scat_0003	CM071588.1	7480161	11220239	3740079
scaff_group_001	scat_0001	WSYH01000023.1	1	789609	4769377
scaff_group_001	scat_0001	WSYH01000032.1	1	431972	4769377
scaff_group_001	scat_0001	WSYH01000122.1	1	320350	4769377
scaff_group_001	scat_0001	WSYH01001022.1	1	145899	4769377
scaff_group_001	scat_0001	WSYH01001023.1	1	145683	4769377
scaff_group_001	scat_0001	WSYH01001024.1	1	145591	4769377
scaff_group_001	scat_0001	WSYH01001025.1	1	145580	4769377
scaff_group_001	scat_0001	WSYH01001026.1	1	145556	4769377
scaff_group_001	scat_0001	WSYH01001027.1	1	145547	4769377
scaff_group_001	scat_0001	WSYH01001028.1	1	145541	4769377
scaff_group_001	scat_0001	WSYH01001029.1	1	145514	4769377
scaff_group_001	scat_0001	WSYH01001030.1	1	145511	4769377
scaff_group_001	scat_0001	WSYH01001031.1	1	145340	4769377
scaff_group_001	scat_0001	WSYH01000123.1	1	320110	4769377
scaff_group_001	scat_0001	WSYH01001032.1	1	145323	4769377
scaff_group_001	scat_0001	WSYH01001033.1	1	145278	4769377
scaff_group_001	scat_0001	WSYH01001034.1	1	145240	4769377
scaff_group_001	scat_0001	WSYH01001035.1	1	145230	4769377
scaff_group_001	scat_0001	WSYH01001036.1	1	145154	4769377
scaff_group_001	scat_0001	WSYH01001037.1	1	145142	4769377
scaff_group_001	scat_0001	WSYH01001038.1	1	145133	4769377
scaff_group_001	scat_0001	WSYH01001039.1	1	145084	4769377
scaff_group_001	scat_0001	WSYH01001040.1	1	145049	4769377
scaff_group_001	scat_0001	WSYH01001041.1	1	144941	4769377
scaff_group_001	scat_0002	WSYH01000124.1	1	319994	4984153
scaff_group_001	scat_0002	WSYH01001042.1	1	144933	4984153
scaff_group_001	scat_0002	WSYH01001043.1	1	144897	4984153
